# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 23 2016 at 00:08:56+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py_sx0.3/twopunmid_2bh_m1m2_0.47656_py_sx0.3_40.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	640 4 0	0	0 0 -0.0125	-2.97987007491973e-06
0	0	0 0 0	640 4 1	0	0 0 -0.009375	-2.97987007491973e-06
0	0	0 0 0	640 4 2	0	0 0 -0.00625	-2.59852404008463e-06
0	0	0 0 0	640 4 3	0	0 0 -0.003125	-2.53836726458404e-06
0	0	0 0 0	640 4 4	0	0 0 0	-5.26066085496357e-06
0	0	0 0 0	640 4 5	0	0 0 0.003125	-2.53868122995164e-06
0	0	0 0 0	640 4 6	0	0 0 0.00625	-2.59836705716069e-06
0	0	0 0 0	640 4 7	0	0 0 0.009375	-2.97971309134326e-06
0	0	0 0 0	640 4 8	0	0 0 0.0125	-2.97971309134326e-06


