# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:37:46+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunnear_One_BH_30.par"
#
# ADMBASE::CURV x (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	0 20 20	0	2.9375 0.5 0.5	0 0.0162378173431069 -0.0162378173431069 -0.259805077489711 0 0.259805077489711
0	0	0 0 0	1 20 20	0	2.940625 0.5 0.5	0 0.0154512515204422 -0.0154512515204422 -0.260231604554815 0 0.260231604554815
0	0	0 0 0	2 20 20	0	2.94375 0.5 0.5	0 0.0146608768268186 -0.0146608768268186 -0.260637810254554 0 0.260637810254554
0	0	0 0 0	3 20 20	0	2.946875 0.5 0.5	0 0.0138668763415754 -0.0138668763415754 -0.261023554664948 0 0.261023554664948
0	0	0 0 0	4 20 20	0	2.95 0.5 0.5	0 0.0130694352326234 -0.0130694352326234 -0.261388704652468 0 0.261388704652468
0	0	0 0 0	5 20 20	0	2.953125 0.5 0.5	0 0.0122687406550537 -0.0122687406550537 -0.261733133974479 0 0.261733133974479
0	0	0 0 0	6 20 20	0	2.95625 0.5 0.5	0 0.0114649816476461 -0.0114649816476461 -0.262056723374767 0 0.262056723374767
0	0	0 0 0	7 20 20	0	2.959375 0.5 0.5	0 0.0106583490273826 -0.0106583490273826 -0.262359360674033 0 0.262359360674033
0	0	0 0 0	8 20 20	0	2.9625 0.5 0.5	0 0.00984903528207075 -0.00984903528207075 -0.262640940855219 0 0.262640940855219
0	0	0 0 0	9 20 20	0	2.965625 0.5 0.5	0 0.00903723446118531 -0.00903723446118531 -0.262901366143574 0 0.262901366143574
0	0	0 0 0	10 20 20	0	2.96875 0.5 0.5	0 0.00822314206504158 -0.00822314206504158 -0.263140546081331 0 0.263140546081331
0	0	0 0 0	11 20 20	0	2.971875 0.5 0.5	0 0.0074069549324134 -0.0074069549324134 -0.263358397596919 0 0.263358397596919
0	0	0 0 0	12 20 20	0	2.975 0.5 0.5	0 0.00658887112671506 -0.00658887112671506 -0.263554845068603 0 0.263554845068603
0	0	0 0 0	13 20 20	0	2.978125 0.5 0.5	0 0.00576908982086655 -0.00576908982086655 -0.26372982038247 0 0.26372982038247
0	0	0 0 0	14 20 20	0	2.98125 0.5 0.5	0 0.00494781118096276 -0.00494781118096276 -0.263883262984683 0 0.263883262984683
0	0	0 0 0	15 20 20	0	2.984375 0.5 0.5	0 0.00412523624887414 -0.00412523624887414 -0.264015119927945 0 0.264015119927945
0	0	0 0 0	16 20 20	0	2.9875 0.5 0.5	0 0.00330156682390111 -0.00330156682390111 -0.264125345912085 0 0.264125345912085
0	0	0 0 0	17 20 20	0	2.990625 0.5 0.5	0 0.00247700534361322 -0.00247700534361322 -0.264213903318746 0 0.264213903318746
0	0	0 0 0	18 20 20	0	2.99375 0.5 0.5	0 0.00165175476400059 -0.00165175476400059 -0.26428076224009 0 0.26428076224009
0	0	0 0 0	19 20 20	0	2.996875 0.5 0.5	0 0.000826018439067201 -0.000826018439067201 -0.264325900501519 0 0.264325900501519
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0 0 0 -0.264349303678355 0 0.264349303678355
0	0	0 0 0	21 20 20	0	3.003125 0.5 0.5	0 -0.000826096765957655 0.000826096765957655 -0.264350965106465 0 0.264350965106465
