# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 28 2016 at 21:37:46+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/One_BH/twopunnear_One_BH_30.par"
#
# ADMBASE::METRIC z (admbase-metric)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:gxx 14:gxy 15:gxz 16:gyy 17:gyz 18:gzz
0	0	0 0 0	20 20 0	0	3 0.5 0.4375	11.3932700916009 0 0 11.3932700916009 0 11.3932700916009
0	0	0 0 0	20 20 1	0	3 0.5 0.440625	11.3354517225924 0 0 11.3354517225924 0 11.3354517225924
0	0	0 0 0	20 20 2	0	3 0.5 0.44375	11.2779795195033 0 0 11.2779795195033 0 11.2779795195033
0	0	0 0 0	20 20 3	0	3 0.5 0.446875	11.2208545085441 0 0 11.2208545085441 0 11.2208545085441
0	0	0 0 0	20 20 4	0	3 0.5 0.45	11.1640775914631 0 0 11.1640775914631 0 11.1640775914631
0	0	0 0 0	20 20 5	0	3 0.5 0.453125	11.1076495492043 0 0 11.1076495492043 0 11.1076495492043
0	0	0 0 0	20 20 6	0	3 0.5 0.45625	11.0515710455073 0 0 11.0515710455073 0 11.0515710455073
0	0	0 0 0	20 20 7	0	3 0.5 0.459375	10.9958426304469 0 0 10.9958426304469 0 10.9958426304469
0	0	0 0 0	20 20 8	0	3 0.5 0.4625	10.9404647439119 0 0 10.9404647439119 0 10.9404647439119
0	0	0 0 0	20 20 9	0	3 0.5 0.465625	10.885437719024 0 0 10.885437719024 0 10.885437719024
0	0	0 0 0	20 20 10	0	3 0.5 0.46875	10.8307617854943 0 0 10.8307617854943 0 10.8307617854943
0	0	0 0 0	20 20 11	0	3 0.5 0.471875	10.776437072918 0 0 10.776437072918 0 10.776437072918
0	0	0 0 0	20 20 12	0	3 0.5 0.475	10.7224636140079 0 0 10.7224636140079 0 10.7224636140079
0	0	0 0 0	20 20 13	0	3 0.5 0.478125	10.6688413477646 0 0 10.6688413477646 0 10.6688413477646
0	0	0 0 0	20 20 14	0	3 0.5 0.48125	10.6155701225846 0 0 10.6155701225846 0 10.6155701225846
0	0	0 0 0	20 20 15	0	3 0.5 0.484375	10.5626496993068 0 0 10.5626496993068 0 10.5626496993068
0	0	0 0 0	20 20 16	0	3 0.5 0.4875	10.5100797541954 0 0 10.5100797541954 0 10.5100797541954
0	0	0 0 0	20 20 17	0	3 0.5 0.490625	10.4578598818617 0 0 10.4578598818617 0 10.4578598818617
0	0	0 0 0	20 20 18	0	3 0.5 0.49375	10.4059895981232 0 0 10.4059895981232 0 10.4059895981232
0	0	0 0 0	20 20 19	0	3 0.5 0.496875	10.3544683428017 0 0 10.3544683428017 0 10.3544683428017
0	0	0 0 0	20 20 20	0	3 0.5 0.5	10.3032954824593 0 0 10.3032954824593 0 10.3032954824593
0	0	0 0 0	20 20 21	0	3 0.5 0.503125	10.2524703130735 0 0 10.2524703130735 0 10.2524703130735
0	0	0 0 0	20 20 22	0	3 0.5 0.50625	10.2019920626526 0 0 10.2019920626526 0 10.2019920626526
0	0	0 0 0	20 20 23	0	3 0.5 0.509375	10.1518598937895 0 0 10.1518598937895 0 10.1518598937895
0	0	0 0 0	20 20 24	0	3 0.5 0.5125	10.1020729061574 0 0 10.1020729061574 0 10.1020729061574
0	0	0 0 0	20 20 25	0	3 0.5 0.515625	10.0526301389452 0 0 10.0526301389452 0 10.0526301389452
0	0	0 0 0	20 20 26	0	3 0.5 0.51875	10.0035305732356 0 0 10.0035305732356 0 10.0035305732356
0	0	0 0 0	20 20 27	0	3 0.5 0.521875	9.95477313432456 0 0 9.95477313432456 0 9.95477313432456
0	0	0 0 0	20 20 28	0	3 0.5 0.525	9.90635669398418 0 0 9.90635669398418 0 9.90635669398418
0	0	0 0 0	20 20 29	0	3 0.5 0.528125	9.85828007266875 0 0 9.85828007266875 0 9.85828007266875
0	0	0 0 0	20 20 30	0	3 0.5 0.53125	9.81054204166549 0 0 9.81054204166549 0 9.81054204166549
0	0	0 0 0	20 20 31	0	3 0.5 0.534375	9.76314132519 0 0 9.76314132519 0 9.76314132519
0	0	0 0 0	20 20 32	0	3 0.5 0.5375	9.71607660242781 0 0 9.71607660242781 0 9.71607660242781
0	0	0 0 0	20 20 33	0	3 0.5 0.540625	9.66934650952227 0 0 9.66934650952227 0 9.66934650952227
0	0	0 0 0	20 20 34	0	3 0.5 0.54375	9.62294964151004 0 0 9.62294964151004 0 9.62294964151004
0	0	0 0 0	20 20 35	0	3 0.5 0.546875	9.57688455420475 0 0 9.57688455420475 0 9.57688455420475
0	0	0 0 0	20 20 36	0	3 0.5 0.55	9.53114976602961 0 0 9.53114976602961 0 9.53114976602961
0	0	0 0 0	20 20 37	0	3 0.5 0.553125	9.48574375980012 0 0 9.48574375980012 0 9.48574375980012
0	0	0 0 0	20 20 38	0	3 0.5 0.55625	9.44066498445734 0 0 9.44066498445734 0 9.44066498445734
0	0	0 0 0	20 20 39	0	3 0.5 0.559375	9.39591185675291 0 0 9.39591185675291 0 9.39591185675291
0	0	0 0 0	20 20 40	0	3 0.5 0.5625	9.35148276288647 0 0 9.35148276288647 0 9.35148276288647


