fvalue	x	y	z
35208274.8383	0.0015625	-0.000390625	-0.000390625
-1074269.20559	0.00234375	-0.000390625	-0.000390625
-241149.335391	0.003125	-0.000390625	-0.000390625
-51938.0581141	0.00390625	-0.000390625	-0.000390625
-14064.0623469	0.0046875	-0.000390625	-0.000390625
-4614.48395101	0.00546875	-0.000390625	-0.000390625
-1756.84301148	0.00625	-0.000390625	-0.000390625
-751.028938624	0.00703125	-0.000390625	-0.000390625
-351.961480423	0.0078125	-0.000390625	-0.000390625
-177.67286382	0.00859375	-0.000390625	-0.000390625
-95.3535595327	0.009375	-0.000390625	-0.000390625
-53.8641646621	0.01015625	-0.000390625	-0.000390625
-31.7786984893	0.0109375	-0.000390625	-0.000390625
-19.4615521497	0.01171875	-0.000390625	-0.000390625
-12.3106448892	0.0125	-0.000390625	-0.000390625
-8.01124375624	0.01328125	-0.000390625	-0.000390625
-5.34557214899	0.0140625	-0.000390625	-0.000390625
-3.64721523268	0.01484375	-0.000390625	-0.000390625
-2.53856488174	0.015625	-0.000390625	-0.000390625
-1.79892432255	0.01640625	-0.000390625	-0.000390625
-1.29567490755	0.0171875	-0.000390625	-0.000390625
-0.947107142323	0.01796875	-0.000390625	-0.000390625
-0.701724159687	0.01875	-0.000390625	-0.000390625
-0.526394891979	0.01953125	-0.000390625	-0.000390625
-0.399398745988	0.0203125	-0.000390625	-0.000390625
-0.306247604506	0.02109375	-0.000390625	-0.000390625
-0.237122517137	0.021875	-0.000390625	-0.000390625
-0.185270476019	0.02265625	-0.000390625	-0.000390625
-0.145983206554	0.0234375	-0.000390625	-0.000390625
-0.115936456132	0.02421875	-0.000390625	-0.000390625
-0.0927552105471	0.025	-0.000390625	-0.000390625
-0.0747237310861	0.02578125	-0.000390625	-0.000390625
-0.0605898235032	0.0265625	-0.000390625	-0.000390625
-0.0494307474582	0.02734375	-0.000390625	-0.000390625
-0.0405601410118	0.028125	-0.000390625	-0.000390625
-0.0334633160188	0.02890625	-0.000390625	-0.000390625
-0.0277509398681	0.0296875	-0.000390625	-0.000390625
-0.0231264168785	0.03046875	-0.000390625	-0.000390625
-0.0193621327829	0.03125	-0.000390625	-0.000390625
-0.0162821360088	0.03203125	-0.000390625	-0.000390625
-0.0137497171333	0.0328125	-0.000390625	-0.000390625
-0.0116575674231	0.03359375	-0.000390625	-0.000390625
-0.00992147203457	0.034375	-0.000390625	-0.000390625
-0.00847477470719	0.03515625	-0.000390625	-0.000390625
-0.00726416061904	0.0359375	-0.000390625	-0.000390625
-0.00624726744718	0.03671875	-0.000390625	-0.000390625
