# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 05:45:04+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.3_NoS/1bh_p0.3_nos/twopunnear_1bh_p0.3_nos_20.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	3 0.5 0.4375	1.74648216291859e-05
0	0	0 0 0	20 20 1	0	3 0.5 0.440625	1.74648216291859e-05
0	0	0 0 0	20 20 2	0	3 0.5 0.44375	2.77501442234418e-06
0	0	0 0 0	20 20 3	0	3 0.5 0.446875	2.79621281561648e-06
0	0	0 0 0	20 20 4	0	3 0.5 0.45	2.81647837618686e-06
0	0	0 0 0	20 20 5	0	3 0.5 0.453125	2.83623552197951e-06
0	0	0 0 0	20 20 6	0	3 0.5 0.45625	2.85520347559918e-06
0	0	0 0 0	20 20 7	0	3 0.5 0.459375	2.87354648200551e-06
0	0	0 0 0	20 20 8	0	3 0.5 0.4625	2.89119737344103e-06
0	0	0 0 0	20 20 9	0	3 0.5 0.465625	2.90808374710759e-06
0	0	0 0 0	20 20 10	0	3 0.5 0.46875	2.92425778142193e-06
0	0	0 0 0	20 20 11	0	3 0.5 0.471875	2.93979888206009e-06
0	0	0 0 0	20 20 12	0	3 0.5 0.475	2.95465859924274e-06
0	0	0 0 0	20 20 13	0	3 0.5 0.478125	2.96855032433157e-06
0	0	0 0 0	20 20 14	0	3 0.5 0.48125	2.98204040354412e-06
0	0	0 0 0	20 20 15	0	3 0.5 0.484375	2.99465848691807e-06
0	0	0 0 0	20 20 16	0	3 0.5 0.4875	3.00652361670366e-06
0	0	0 0 0	20 20 17	0	3 0.5 0.490625	3.01774908457986e-06
0	0	0 0 0	20 20 18	0	3 0.5 0.49375	3.02832678777368e-06
0	0	0 0 0	20 20 19	0	3 0.5 0.496875	3.03809152022751e-06
0	0	0 0 0	20 20 20	0	3 0.5 0.5	3.04716132345758e-06
0	0	0 0 0	20 20 21	0	3 0.5 0.503125	3.05548558021261e-06
0	0	0 0 0	20 20 22	0	3 0.5 0.50625	3.06303806689467e-06
0	0	0 0 0	20 20 23	0	3 0.5 0.509375	3.07002895747486e-06
0	0	0 0 0	20 20 24	0	3 0.5 0.5125	3.07619952436e-06
0	0	0 0 0	20 20 25	0	3 0.5 0.515625	3.08181331300488e-06
0	0	0 0 0	20 20 26	0	3 0.5 0.51875	3.08657845411969e-06
0	0	0 0 0	20 20 27	0	3 0.5 0.521875	3.09053856146222e-06
0	0	0 0 0	20 20 28	0	3 0.5 0.525	3.09407959932771e-06
0	0	0 0 0	20 20 29	0	3 0.5 0.528125	3.09669407323331e-06
0	0	0 0 0	20 20 30	0	3 0.5 0.53125	3.09887762128922e-06
0	0	0 0 0	20 20 31	0	3 0.5 0.534375	3.09995111892137e-06
0	0	0 0 0	20 20 32	0	3 0.5 0.5375	3.10082338244384e-06
0	0	0 0 0	20 20 33	0	3 0.5 0.540625	3.10064215813073e-06
0	0	0 0 0	20 20 34	0	3 0.5 0.54375	3.09990400630439e-06
0	0	0 0 0	20 20 35	0	3 0.5 0.546875	3.098567017276e-06
0	0	0 0 0	20 20 36	0	3 0.5 0.55	3.09649370148243e-06
0	0	0 0 0	20 20 37	0	3 0.5 0.553125	3.09376773775273e-06
0	0	0 0 0	20 20 38	0	3 0.5 0.55625	3.09047832067265e-06
0	0	0 0 0	20 20 39	0	3 0.5 0.559375	1.27963097919697e-05
0	0	0 0 0	20 20 40	0	3 0.5 0.5625	1.27963097919697e-05


