# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jul 03 2016 at 05:44:10+0000
# parameter filename: "/home/admin/simulations/GenerateSimulations/ONE_BH/1BH_P0.1_NoS/1bh_p0.1_nos/twopunnear_1bh_p0.1_nos_20.par"
#
# ADMBASE::CURV z (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	20 20 0	0	3 0.5 0.4375	0 0.0758536804850859 0.0663719704244502 0 0 0
0	0	0 0 0	20 20 1	0	3 0.5 0.440625	0 0.0753430394490229 0.0663960535144515 0 0 0
0	0	0 0 0	20 20 2	0	3 0.5 0.44375	0 0.0748350394867013 0.0664160975444474 0 0 0
0	0	0 0 0	20 20 3	0	3 0.5 0.446875	0 0.0743297003247904 0.0664321696652814 0 0 0
0	0	0 0 0	20 20 4	0	3 0.5 0.45	0 0.0738270405569672 0.0664443365012705 0 0 0
0	0	0 0 0	20 20 5	0	3 0.5 0.453125	0 0.0733270776692403 0.066452664137749 0 0 0
0	0	0 0 0	20 20 6	0	3 0.5 0.45625	0 0.0728298280650664 0.0664572181093731 0 0 0
0	0	0 0 0	20 20 7	0	3 0.5 0.459375	0 0.0723353070902488 0.0664580633891661 0 0 0
0	0	0 0 0	20 20 8	0	3 0.5 0.4625	0 0.0718435290576025 0.0664552643782823 0 0 0
0	0	0 0 0	20 20 9	0	3 0.5 0.465625	0 0.071354507271378 0.0664488848964708 0 0 0
0	0	0 0 0	20 20 10	0	3 0.5 0.46875	0 0.070868254051431 0.0664389881732166 0 0 0
0	0	0 0 0	20 20 11	0	3 0.5 0.471875	0 0.0703847807571293 0.0664256368395407 0 0 0
0	0	0 0 0	20 20 12	0	3 0.5 0.475	0 0.0699040978109877 0.0664088929204383 0 0 0
0	0	0 0 0	20 20 13	0	3 0.5 0.478125	0 0.0694262147220234 0.0663888178279349 0 0 0
0	0	0 0 0	20 20 14	0	3 0.5 0.48125	0 0.0689511401088226 0.0663654723547417 0 0 0
0	0	0 0 0	20 20 15	0	3 0.5 0.484375	0 0.0684788817223134 0.0663389166684911 0 0 0
0	0	0 0 0	20 20 16	0	3 0.5 0.4875	0 0.0680094464682379 0.066309210306532 0 0 0
0	0	0 0 0	20 20 17	0	3 0.5 0.490625	0 0.0675428404293173 0.0662764121712676 0 0 0
0	0	0 0 0	20 20 18	0	3 0.5 0.49375	0 0.067079068887106 0.0662405805260171 0 0 0
0	0	0 0 0	20 20 19	0	3 0.5 0.496875	0 0.0666181363435294 0.0662017729913824 0 0 0
0	0	0 0 0	20 20 20	0	3 0.5 0.5	0 0.0661600465421026 0.0661600465421026 0 0 0
0	0	0 0 0	20 20 21	0	3 0.5 0.503125	0 0.0657048024888245 0.0661154575043797 0 0 0
0	0	0 0 0	20 20 22	0	3 0.5 0.50625	0 0.0652524064727469 0.0660680615536563 0 0 0
0	0	0 0 0	20 20 23	0	3 0.5 0.509375	0 0.0648028600862144 0.0660179137128309 0 0 0
0	0	0 0 0	20 20 24	0	3 0.5 0.5125	0 0.0643561642447731 0.0659650683508924 0 0 0
0	0	0 0 0	20 20 25	0	3 0.5 0.515625	0 0.0639123192067481 0.065909579181959 0 0 0
0	0	0 0 0	20 20 26	0	3 0.5 0.51875	0 0.0634713245924868 0.0658514992647051 0 0 0
0	0	0 0 0	20 20 27	0	3 0.5 0.521875	0 0.0630331794032683 0.0657908810021613 0 0 0
0	0	0 0 0	20 20 28	0	3 0.5 0.525	0 0.0625978820398776 0.0657277761418715 0 0 0
0	0	0 0 0	20 20 29	0	3 0.5 0.528125	0 0.0621654303208463 0.0656622357763939 0 0 0
0	0	0 0 0	20 20 30	0	3 0.5 0.53125	0 0.0617358215003575 0.0655943103441299 0 0 0
0	0	0 0 0	20 20 31	0	3 0.5 0.534375	0 0.061309052285818 0.065524049630468 0 0 0
0	0	0 0 0	20 20 32	0	3 0.5 0.5375	0 0.0608851188550967 0.0654515027692289 0 0 0
0	0	0 0 0	20 20 33	0	3 0.5 0.540625	0 0.0604640168734319 0.0653767182443983 0 0 0
0	0	0 0 0	20 20 34	0	3 0.5 0.54375	0 0.0600457415100079 0.0652997438921336 0 0 0
0	0	0 0 0	20 20 35	0	3 0.5 0.546875	0 0.0596302874542028 0.0652206269030343 0 0 0
0	0	0 0 0	20 20 36	0	3 0.5 0.55	0 0.0592176489315098 0.0651394138246607 0 0 0
0	0	0 0 0	20 20 37	0	3 0.5 0.553125	0 0.0588078197191337 0.0650561505642917 0 0 0
0	0	0 0 0	20 20 38	0	3 0.5 0.55625	0 0.0584007931612654 0.0649708823919077 0 0 0
0	0	0 0 0	20 20 39	0	3 0.5 0.559375	0 0.0579965621840357 0.0648836539433899 0 0 0
0	0	0 0 0	20 20 40	0	3 0.5 0.5625	0 0.0575951193101532 0.0647945092239223 0 0 0


