# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 10 2016 at 06:53:04+0000
# parameter filename: "/home/admin/simulations/ONE_BH/1BH_Convergence/1bh_p0.1_dx0.0015625_near_convergence_smallergrid_0.1away/manybhnear_1bh_p0.1_dx0.0015625_near_convergence_smallergrid_0.1away_40x41x49.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	40 40 0	0	3 0.1 0.0375	0.000446203058795027
0	0	0 0 0	40 40 1	0	3 0.1 0.0390625	0.000446203058795027
0	0	0 0 0	40 40 2	0	3 0.1 0.040625	-1.2249431201005e-06
0	0	0 0 0	40 40 3	0	3 0.1 0.0421875	-1.13601306555113e-06
0	0	0 0 0	40 40 4	0	3 0.1 0.04375	-1.0502820227832e-06
0	0	0 0 0	40 40 5	0	3 0.1 0.0453125	-9.67951918124432e-07
0	0	0 0 0	40 40 6	0	3 0.1 0.046875	-8.89166704771453e-07
0	0	0 0 0	40 40 7	0	3 0.1 0.0484375	-8.1406853636734e-07
0	0	0 0 0	40 40 8	0	3 0.1 0.05	-7.42724156747732e-07
0	0	0 0 0	40 40 9	0	3 0.1 0.0515625	-6.7519525882894e-07
0	0	0 0 0	40 40 10	0	3 0.1 0.053125	-6.1150421019264e-07
0	0	0 0 0	40 40 11	0	3 0.1 0.0546875	-5.51624329584011e-07
0	0	0 0 0	40 40 12	0	3 0.1 0.05625	-4.95535416619944e-07
0	0	0 0 0	40 40 13	0	3 0.1 0.0578125	-4.43185421014444e-07
0	0	0 0 0	40 40 14	0	3 0.1 0.059375	-3.94486621869698e-07
0	0	0 0 0	40 40 15	0	3 0.1 0.0609375	-3.49356747383227e-07
0	0	0 0 0	40 40 16	0	3 0.1 0.0625	-3.07660500805987e-07
0	0	0 0 0	40 40 17	0	3 0.1 0.0640625	-2.69309547818822e-07
0	0	0 0 0	40 40 18	0	3 0.1 0.065625	-2.34145465977649e-07
0	0	0 0 0	40 40 19	0	3 0.1 0.0671875	-2.02035345634079e-07
0	0	0 0 0	40 40 20	0	3 0.1 0.06875	-1.72849981256982e-07
0	0	0 0 0	40 40 21	0	3 0.1 0.0703125	-1.46422506780802e-07
0	0	0 0 0	40 40 22	0	3 0.1 0.071875	-1.22617071719711e-07
0	0	0 0 0	40 40 23	0	3 0.1 0.0734375	-1.01259665677055e-07
